Part #,SKU,Name,Category,Katana Type,Katana Subtype,Has BOM,Sellable,Notes,Is Subassembly
30001,FR-SOL-LCH-NT,"Solerno Lounge Chair Frame, Natural Teak",Frame,Product,Subassembly,No,No,Teak frame - component of heated furniture,Yes
30002,FR-SOL-LOV-NT,"Solerno Loveseat Frame, Natural Teak",Frame,Product,Subassembly,No,No,Teak frame - component of heated furniture,Yes
30003,FR-SOL-SOF-NT,"Solerno Sofa Frame, Natural Teak",Frame,Product,Subassembly,No,No,Teak frame - component of heated furniture,Yes
30004,FR-SOL-HOT-NT,"Solerno Heated Ottoman Frame, Natural Teak",Frame,Product,Subassembly,No,No,Teak frame - component of heated furniture,Yes
30005,FR-SOL-OTM-NT,"Solerno Ottoman Frame, Natural Teak",Frame,Product,Product for resale,No,Yes,Teak frame,No
30006,FR-SOL-CTB-NT,"Solerno Coffee Table Frame, Natural Teak",Frame,Product,Product for resale,No,Yes,Teak frame,No
30007,FR-SOL-STB-NT,"Solerno Side Table Frame, Natural Teak",Frame,Product,Product for resale,No,Yes,Teak frame,No
30008,FR-SOL-SVL-NT,"Solerno Swivel Chair Frame, Natural Teak",Frame,Product,Subassembly,No,No,Teak frame - component of heated furniture,Yes
30009,FR-SOL-CHS-NT,"Solerno Chaise Lounge Frame, Natural Teak",Frame,Product,Subassembly,No,No,Teak frame - component of heated furniture,Yes
30010,FR-SOL-DCH-NT,"Solerno Dining Side Chair Frame, Natural Teak",Frame,Product,Subassembly,No,No,Teak frame - component of heated furniture,Yes
30011,FR-SOL-DAC-NT,"Solerno Dining Arm Chair Frame, Natural Teak",Frame,Product,Subassembly,No,No,Teak frame - component of heated furniture,Yes
30012,FR-SOL-SDT-NT,"Solerno Square Dining Table Frame, Natural Teak",Frame,Product,Product for resale,No,Yes,Teak frame,No
30013,FR-SOL-RDT-NT,"Solerno Rectangle Dining Table Frame, Natural Teak",Frame,Product,Product for resale,No,Yes,Teak frame,No
70001,HT-PB-G1R-151,"Power Bar, Gen 1 Refresh, 151Wh",Heat Tech,Product,Kit,Yes,Yes,Kit includes charger,Yes
70002,HT-CHG-ADPT-90,"Charging Adapter, 90W",Heat Tech,Product,Product for resale,No,Yes,,Yes
70003,HT-MNT-G1,"Mount, Gen 1",Heat Tech,Product,Product for resale,No,Yes,,No
70004,HT-MNT-UNI,"Mount, Universal",Heat Tech,Product,Product for resale,No,Yes,,No
70005,HT-CHG-CRT-20,"Charging Cart, 20 Devices",Heat Tech,Product,Product for resale,No,Yes,,No
70006,HT-CHG-SPLT-2,"Power Splitter, 2-Way",Heat Tech,Product,Product for resale,No,Yes,,No
70007,HT-CHG-SPLT-3,"Power Splitter, 3-Way",Heat Tech,Product,Product for resale,No,Yes,,No
70008,HT-CHG-SPLT-4,"Power Splitter, 4-Way",Heat Tech,Product,Product for resale,No,Yes,,No
70009,HT-GPH-LS-SEAT-G1,"Graphene Heating Element, LS Seat, Gen 1",Heat Tech,Material,Material,No,No,,Yes
70010,HT-GPH-LS-BACK-G1,"Graphene Heating Element, LS Back, Gen 1",Heat Tech,Material,Material,No,No,,Yes
70011,HT-GPH-LS-PILB-G1,"Graphene Heating Element, LS Pillow Back, Gen 1",Heat Tech,Material,Material,No,No,,Yes
60001,PRO-SOL-LCH,"Protective Cover, Solerno Lounge Chair",Protective Cover,Product,Product for resale,No,Yes,,No
60002,PRO-SOL-LOV,"Protective Cover, Solerno Loveseat",Protective Cover,Product,Product for resale,No,Yes,,No
60003,PRO-SOL-SOF,"Protective Cover, Solerno Sofa",Protective Cover,Product,Product for resale,No,Yes,,No
60004,PRO-SOL-HOT,"Protective Cover, Solerno Heated Ottoman",Protective Cover,Product,Product for resale,No,Yes,,No
60005,PRO-SOL-OTM,"Protective Cover, Solerno Ottoman",Protective Cover,Product,Product for resale,No,Yes,,No
60006,PRO-SOL-CTB,"Protective Cover, Solerno Coffee Table",Protective Cover,Product,Product for resale,No,Yes,,No
60007,PRO-SOL-STB,"Protective Cover, Solerno Side Table",Protective Cover,Product,Product for resale,No,Yes,,No
60008,PRO-SOL-SVL,"Protective Cover, Solerno Swivel Chair",Protective Cover,Product,Product for resale,No,Yes,,No
60009,PRO-SOL-CHS,"Protective Cover, Solerno Chaise Lounge",Protective Cover,Product,Product for resale,No,Yes,,No
60010,PRO-SOL-DCH,"Protective Cover, Solerno Dining Side Chair",Protective Cover,Product,Product for resale,No,Yes,,No
60011,PRO-SOL-DAC,"Protective Cover, Solerno Dining Arm Chair",Protective Cover,Product,Product for resale,No,Yes,,No
60012,PRO-SOL-SDT,"Protective Cover, Solerno Square Dining Table",Protective Cover,Product,Product for resale,No,Yes,,No
60013,PRO-SOL-RDT,"Protective Cover, Solerno Rectangle Dining Table",Protective Cover,Product,Product for resale,No,Yes,,No
80001,ACC-THRW-ALO,"Sunbrella Signature Throw, Aloe",Accessory,Product,Product for resale,No,Yes,,No
80002,ACC-THRW-IND,"Sunbrella Signature Throw, Indigo",Accessory,Product,Product for resale,No,Yes,,No
80003,ACC-THRW-CBN,"Sunbrella Signature Throw, Carbon",Accessory,Product,Product for resale,No,Yes,,No
80004,ACC-THRW-DOV,"Sunbrella Signature Throw, Dove",Accessory,Product,Product for resale,No,Yes,,No
80005,ACC-THRW-CHR,"Sunbrella Signature Throw, Charcoal",Accessory,Product,Product for resale,No,Yes,,No
80006,ACC-THRW-SLT,"Sunbrella Signature Throw, Salt",Accessory,Product,Product for resale,No,Yes,,No
